test_case,model,version,timestamp,processing_time,reasoning_overall,reasoning_demographics,reasoning_psychological_characteristics,reasoning_behavioral_characteristics,reasoning_geographic_behavior,reasoning_skills_and_knowledge,reasoning_investigative_implications,reasoning_key_identifiers,reasoning_framework_narrative_action_system,reasoning_framework_sexual_behavioral_analysis,reasoning_framework_spatial_behavioral_analysis,reasoning_framework_sexual_homicide_pathways_analysis,reasoning_frameworks_total,avg_framework_confidence,framework_confidence_narrative_action_system,framework_confidence_sexual_behavioral_analysis,framework_confidence_spatial_behavioral_analysis,framework_confidence_sexual_homicide_pathways_analysis,framework_completeness_narrative_action_system,framework_completeness_sexual_behavioral_analysis,framework_completeness_spatial_behavioral_analysis,framework_completeness_sexual_homicide_pathways_analysis,framework_accuracy_narrative_action_system,framework_accuracy_spatial_behavioral_analysis,framework_accuracy_sexual_behavioral_analysis,framework_accuracy_sexual_homicide_pathways_analysis
unabomber,GPT-4.5-Preview,latest,2025-03-14T18:44:37.920985,195.88991284370422,2,3,3,3,2,2,2,2,1,0,1,0,2,0.9,0.9,0.0,0.9,0.0,0.8,0.0,0.8,0.0,1.0,1.0,0.0,0.0
unabomber,o3-mini-high,latest,2025-03-14T18:45:39.833614,61.897002935409546,4,2,2,2,2,2,2,2,1,0,1,0,2,0.875,0.85,0.0,0.9,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
robert-napper-rachel-nickell,GPT-4o,latest,2025-03-14T18:46:01.379692,91.42069458961487,3,3,3,3,2,2,2,2,1,1,1,1,4,0.8,0.8,0.7,0.9,0.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
unabomber,GPT-4o,latest,2025-03-14T18:46:05.890011,87.95339965820312,3,3,3,3,2,2,2,2,2,0,2,0,4,0.875,0.85,0.0,0.9,0.0,1.0,0.0,0.8,0.0,1.0,1.0,0.0,0.0
robert-napper-rachel-nickell,o3-mini-high,latest,2025-03-14T18:46:12.096317,102.15294551849365,3,2,2,2,2,2,2,2,1,1,1,1,4,0.7625,0.75,0.8,0.7,0.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
unabomber,GPT-4o-mini,latest,2025-03-14T18:46:30.048857,24.143213033676147,2,2,2,2,2,2,2,2,2,1,2,0,5,0.85,0.9,0.8,0.85,0.0,0.8,0.8,0.8,0.0,1.0,1.0,0.0,0.0
robert-napper-rachel-nickell,GPT-4o-mini,latest,2025-03-14T18:46:41.895678,29.79936122894287,3,3,3,2,2,2,2,2,2,0,1,0,3,0.8375,0.8,0.85,0.9,0.8,0.8,0.6,0.8,0.6,1.0,0.0,0.0,1.0
unabomber,Claude-3.7-Sonnet,latest,2025-03-14T18:47:37.119378,67.07052111625671,6,6,6,6,4,5,5,5,4,0,4,0,8,0.8,0.85,0.0,0.75,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
robert-napper-rachel-nickell,Claude-3.7-Sonnet,latest,2025-03-14T18:47:53.310677,71.41256308555603,6,6,6,6,4,5,5,5,4,5,5,6,20,0.825,0.8,0.85,0.75,0.9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
unabomber,Claude-3.7-Sonnet-Thinking,latest,2025-03-14T18:48:11.068519,101.01966214179993,6,6,6,6,3,4,5,5,4,0,3,0,7,0.8,0.85,0.0,0.75,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
robert-napper-rachel-nickell,Claude-3.7-Sonnet-Thinking,latest,2025-03-14T18:48:35.443904,113.54822564125061,7,6,6,6,3,5,5,5,4,4,4,4,16,0.775,0.75,0.8,0.7,0.85,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
unabomber,Llama-3.3-70B-Instruct,latest,2025-03-14T18:49:40.364183,89.29566407203674,3,3,3,3,2,2,3,2,1,0,1,0,2,0.8500000000000001,0.8,0.0,0.9,0.0,0.8,0.0,0.8,0.0,0.0,1.0,0.0,0.0
robert-napper-rachel-nickell,Llama-3.3-70B-Instruct,latest,2025-03-14T18:50:13.333687,97.88978314399719,3,3,3,3,2,2,2,2,1,1,1,1,4,0.65,0.6,0.7,0.5,0.8,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
unabomber,DeepSeek-R1,latest,2025-03-14T18:50:54.541693,74.17751026153564,5,4,4,4,4,4,4,4,3,0,4,0,7,0.8999999999999999,0.95,0.0,0.85,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
unabomber,Gemini-2.0-Flash,latest,2025-03-14T18:51:10.482990,15.941296577453613,7,4,4,4,2,4,2,3,3,0,2,0,5,0.875,0.85,0.0,0.9,0.0,0.8,0.0,0.8,0.0,0.0,1.0,0.0,0.0
unabomber,Gemini-2.0-Flash-Thinking-Exp0121,latest,2025-03-14T18:51:27.870708,33.329015493392944,1,5,6,6,3,5,5,5,1,0,1,0,2,0.75,0.8,0.0,0.7,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
robert-napper-rachel-nickell,DeepSeek-R1,latest,2025-03-14T18:56:38.290023,384.95633602142334,3,3,3,3,2,2,2,2,1,1,1,1,4,0.775,0.7,0.9,0.65,0.85,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
robert-napper-rachel-nickell,Gemini-2.0-Flash,latest,2025-03-14T18:56:55.511366,17.22134280204773,4,3,4,4,2,3,3,3,2,2,1,2,7,0.6,0.6,0.7,0.4,0.7,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
robert-napper-rachel-nickell,Gemini-2.0-Flash-Thinking-Exp0121,latest,2025-03-14T18:57:24.062750,45.772727251052856,3,6,6,6,3,5,5,5,1,1,1,1,4,0.725,0.6,0.8,0.7,0.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
btk-otero,o3-mini,latest,2025-03-14T18:58:05.688901,41.61052489280701,3,2,2,2,2,2,2,2,1,1,1,1,4,0.775,0.8,0.8,0.7,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ed-kemper,o3-mini,latest,2025-03-14T18:58:06.221747,42.15899658203125,3,3,3,3,2,2,2,2,1,1,1,1,4,0.8375,0.9,0.8,0.8,0.85,0.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0
btk-otero,GPT-4.5-Preview,latest,2025-03-14T19:00:51.111375,207.04862475395203,1,3,3,3,3,3,3,3,1,1,1,1,4,0.9125,0.9,0.95,0.85,0.95,1.0,0.8,0.8,0.8,0.0,1.0,1.0,1.0
btk-otero,GPT-4o,latest,2025-03-14T19:02:31.251386,100.14001059532166,3,5,5,5,3,5,5,5,1,1,1,1,4,0.7875,0.85,0.75,0.9,0.65,0.8,0.8,0.8,0.8,1.0,0.0,0.0,1.0
btk-otero,o3-mini-high,latest,2025-03-14T19:03:01.064863,129.95348834991455,2,2,2,2,2,2,2,2,1,1,1,1,4,0.825,0.8,0.75,0.9,0.85,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
btk-otero,GPT-4o-mini,latest,2025-03-14T19:03:21.394335,20.329471826553345,3,2,2,2,2,2,1,2,1,1,1,1,4,0.8,0.85,0.75,0.8,0.8,0.8,0.8,0.8,0.8,1.0,1.0,0.0,1.0
btk-otero,Claude-3.7-Sonnet,latest,2025-03-14T19:04:38.146181,76.75080847740173,7,6,6,6,3,5,5,5,1,3,4,3,11,0.725,0.8,0.7,0.65,0.75,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
ed-kemper,GPT-4.5-Preview,latest,2025-03-14T19:05:06.057694,461.994943857193,1,2,2,2,1,1,1,1,1,1,1,1,4,0.925,0.9,0.95,0.9,0.95,0.8,0.8,0.8,0.8,0.0,0.0,0.0,0.0
btk-otero,Claude-3.7-Sonnet-Thinking,latest,2025-03-14T19:05:06.368016,104.97264409065247,7,6,6,6,3,5,5,5,1,1,1,1,4,0.7375,0.75,0.8,0.7,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ed-kemper,o3-mini-high,latest,2025-03-14T19:06:25.233198,79.17550373077393,3,2,2,2,2,2,2,2,1,1,1,1,4,0.8625,0.9,0.85,0.85,0.85,0.8,0.6,1.0,0.8,0.0,0.0,0.0,0.0
ed-kemper,GPT-4o,latest,2025-03-14T19:07:36.422893,150.34957432746887,3,2,2,2,2,2,2,2,1,1,1,1,4,0.8500000000000001,0.8,0.8,0.9,0.9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
ed-kemper,GPT-4o-mini,latest,2025-03-14T19:08:00.336654,23.912760734558105,3,2,2,2,2,2,2,2,2,2,2,2,8,0.8625,0.8,0.9,0.9,0.85,0.8,0.6,0.8,0.8,0.0,1.0,0.0,0.0
btk-otero,Llama-3.3-70B-Instruct,latest,2025-03-14T19:08:48.127211,221.7591941356659,3,2,2,2,2,2,2,2,2,2,2,2,8,0.75,0.8,0.7,0.9,0.6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
ed-kemper,Claude-3.7-Sonnet,latest,2025-03-14T19:09:18.927123,78.5904688835144,7,5,5,5,4,5,5,5,4,4,4,4,16,0.85,0.85,0.9,0.8,0.85,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
ed-kemper,Claude-3.7-Sonnet-Thinking,latest,2025-03-14T19:10:15.407893,135.0712387561798,7,6,6,6,3,5,5,5,1,3,3,3,10,0.8625,0.85,0.9,0.8,0.9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
ed-kemper,Llama-3.3-70B-Instruct,latest,2025-03-14T19:14:11.904413,236.49651980400085,2,2,2,2,2,2,2,2,2,2,2,2,8,0.7,0.6,0.8,0.7,0.7,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
ed-kemper,DeepSeek-R1,latest,2025-03-14T19:15:16.437192,64.53177976608276,4,3,3,3,3,3,3,3,1,1,1,1,4,0.775,0.85,0.8,0.7,0.75,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
ed-kemper,Gemini-2.0-Flash,latest,2025-03-14T19:15:32.207072,15.769880056381226,3,4,3,3,3,3,3,3,2,2,2,1,7,0.675,0.7,0.6,0.9,0.5,0.8,0.8,0.8,0.8,1.0,0.0,0.0,0.0
ed-kemper,Gemini-2.0-Flash-Thinking-Exp0121,latest,2025-03-14T19:15:54.951052,38.51386022567749,5,6,6,6,3,5,5,5,1,1,1,1,4,0.7375,0.8,0.7,0.7,0.75,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
btk-otero,DeepSeek-R1,latest,2025-03-14T19:17:06.835804,498.7085933685303,4,3,3,3,3,3,3,3,2,2,2,2,8,0.825,0.85,0.75,0.8,0.9,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
btk-otero,Gemini-2.0-Flash,latest,2025-03-14T19:17:24.030960,17.19515562057495,5,4,4,4,2,3,3,3,1,1,2,3,7,0.7,0.6,0.7,0.8,0.7,0.8,0.8,0.8,0.8,1.0,0.0,0.0,0.0
btk-otero,Gemini-2.0-Flash-Thinking-Exp0121,latest,2025-03-14T19:17:38.703656,31.867851495742798,5,6,6,6,3,5,5,5,1,1,1,1,4,0.725,0.7,0.8,0.6,0.8,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
unabomber,Gemma-3,latest,2025-03-15T00:25:24.017995,81.6136155128479,4,3,4,3,3,3,3,3,3,0,3,0,6,0.8500000000000001,0.9,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.0,1.0,0.0,0.0
ted-bundy-lake,Gemma-3,latest,2025-03-15T00:25:31.610618,89.20623779296875,4,4,4,3,3,3,3,2,1,1,1,1,4,0.725,0.75,0.65,0.8,0.7,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
mad-bomber,Gemma-3,latest,2025-03-15T00:25:33.397658,90.99327826499939,5,4,6,5,3,3,5,4,1,1,1,1,4,0.8,0.9,0.7,0.75,0.85,1.0,1.0,1.0,0.8,1.0,1.0,0.0,0.0
robert-napper-rachel-nickell,Gemma-3,latest,2025-03-15T00:25:35.077462,92.67308211326599,3,4,5,5,3,3,5,5,1,1,1,1,4,0.75,0.6,0.8,0.7,0.9,1.0,0.8,1.0,0.8,0.0,1.0,0.0,1.0
ed-kemper,Gemma-3,latest,2025-03-15T00:25:46.307863,103.90348291397095,0,5,5,5,3,4,3,3,1,1,1,1,4,0.85,0.75,0.85,0.9,0.9,1.0,0.8,1.0,0.8,0.0,1.0,0.0,0.0
btk-otero,Gemma-3,latest,2025-03-15T00:27:04.592274,182.18789386749268,6,3,3,3,2,3,3,3,1,1,1,1,4,0.8125,0.7,0.8,0.85,0.9,1.0,1.0,1.0,0.8,1.0,1.0,0.0,1.0
ted-bundy-lake,o3-mini,latest,2025-03-14T19:30:29.198120,39.929113149642944,3,2,2,2,2,2,2,2,1,1,1,1,4,0.7375,0.8,0.7,0.8,0.65,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
mad-bomber,o3-mini,latest,2025-03-14T19:30:29.339200,40.07019305229187,4,3,3,3,3,3,3,3,1,0,1,0,2,0.9,0.9,0.0,0.9,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
mad-bomber,GPT-4.5-Preview,latest,2025-03-14T19:32:35.312911,166.04390358924866,1,4,4,4,3,3,4,4,1,0,1,0,2,0.925,0.95,0.0,0.9,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
mad-bomber,GPT-4o,latest,2025-03-14T19:33:50.902810,75.58989953994751,3,3,3,3,2,2,2,2,1,0,1,1,3,0.8166666666666667,0.9,0.0,0.85,0.7,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
mad-bomber,o3-mini-high,latest,2025-03-14T19:34:06.214110,90.90119886398315,5,3,2,2,2,2,2,2,1,0,1,0,2,0.8500000000000001,0.9,0.0,0.8,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
mad-bomber,GPT-4o-mini,latest,2025-03-14T19:34:31.279090,25.064980268478394,4,2,2,2,2,2,2,2,2,0,1,0,3,0.875,0.85,0.0,0.9,0.0,0.8,0.0,0.8,0.0,1.0,1.0,0.0,0.0
mad-bomber,Claude-3.7-Sonnet,latest,2025-03-14T19:35:43.802265,72.52317571640015,8,6,6,6,4,6,6,6,4,0,4,0,8,0.8500000000000001,0.9,0.0,0.8,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
mad-bomber,Claude-3.7-Sonnet-Thinking,latest,2025-03-14T19:36:26.142259,114.86316871643066,6,5,6,6,3,5,5,5,4,0,5,0,9,0.875,0.9,0.0,0.85,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ted-bundy-lake,GPT-4.5-Preview,latest,2025-03-14T19:37:29.216573,459.94756603240967,1,3,1,1,1,1,1,1,1,1,1,1,4,0.8625,0.85,0.9,0.9,0.8,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
ted-bundy-lake,GPT-4o,latest,2025-03-14T19:38:34.906374,65.68980145454407,4,6,6,6,3,5,5,5,1,1,1,1,4,0.825,0.85,0.75,0.9,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ted-bundy-lake,o3-mini-high,latest,2025-03-14T19:38:54.734297,85.51672315597534,4,3,2,2,2,2,2,2,1,1,1,1,4,0.7625,0.8,0.7,0.75,0.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
ted-bundy-lake,GPT-4o-mini,latest,2025-03-14T19:39:23.589867,28.854570627212524,3,3,3,3,3,3,3,3,2,2,2,2,8,0.8875,0.85,0.9,0.85,0.95,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
ted-bundy-lake,Claude-3.7-Sonnet,latest,2025-03-14T19:40:32.226492,68.63496589660645,7,6,6,6,3,5,5,5,4,4,4,4,16,0.85,0.85,0.9,0.8,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ted-bundy-lake,Claude-3.7-Sonnet-Thinking,latest,2025-03-14T19:41:41.131591,137.54068899154663,7,5,5,5,4,5,5,5,1,1,1,1,4,0.85,0.85,0.9,0.8,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mad-bomber,Llama-3.3-70B-Instruct,latest,2025-03-14T19:42:14.466060,348.32380175590515,2,3,2,2,2,2,2,2,1,0,1,0,2,0.8500000000000001,0.8,0.0,0.9,0.0,0.8,0.0,0.8,0.0,1.0,0.0,0.0,0.0
ted-bundy-lake,Llama-3.3-70B-Instruct,latest,2025-03-14T19:42:33.488744,52.35496664047241,1,2,3,3,2,2,2,2,1,1,1,1,4,0.625,0.6,0.7,0.8,0.4,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
mad-bomber,DeepSeek-R1,latest,2025-03-14T19:43:26.423123,71.95606255531311,5,3,3,3,3,3,3,3,3,0,3,0,6,0.8999999999999999,0.95,0.0,0.85,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
mad-bomber,Gemini-2.0-Flash,latest,2025-03-14T19:43:41.939379,15.51625657081604,7,5,6,6,3,4,5,5,3,0,3,0,6,0.8500000000000001,0.8,0.0,0.9,0.0,0.8,0.0,0.8,0.0,1.0,1.0,0.0,0.0
mad-bomber,Gemini-2.0-Flash-Thinking-Exp0121,latest,2025-03-14T19:44:01.721888,35.29642868041992,7,7,6,6,3,5,5,5,1,0,1,1,3,0.7666666666666666,0.85,0.0,0.75,0.7,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ted-bundy-lake,DeepSeek-R1,latest,2025-03-14T19:45:23.455364,169.96459674835205,5,3,3,3,3,3,3,3,3,3,3,3,12,0.775,0.85,0.75,0.7,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ted-bundy-lake,Gemini-2.0-Flash,latest,2025-03-14T19:45:39.335266,15.878901720046997,3,5,3,3,2,2,2,2,1,1,1,1,4,0.7,0.6,0.7,0.8,0.7,0.8,1.0,0.8,0.8,0.0,1.0,0.0,0.0
ted-bundy-lake,Gemini-2.0-Flash-Thinking-Exp0121,latest,2025-03-14T19:45:54.602762,31.145397901535034,6,4,6,6,3,5,5,5,1,1,1,1,4,0.7,0.6,0.7,0.8,0.7,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
unabomber,o3-mini,latest,2025-03-14T19:46:45.968243,51.362566232681274,4,2,2,2,2,2,2,2,1,0,1,0,2,0.875,0.9,0.0,0.85,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
robert-napper-rachel-nickell,o3-mini,latest,2025-03-14T19:46:50.196035,55.5903582572937,4,3,3,3,3,3,3,3,1,1,1,1,4,0.75,0.7,0.75,0.8,0.75,1.0,1.0,0.8,1.0,1.0,0.0,0.0,1.0
unabomber,GPT-4.5-Preview,latest,2025-03-14T19:49:13.559476,198.9531192779541,2,3,3,3,2,2,2,2,1,0,1,0,2,0.925,0.9,0.0,0.95,0.0,0.8,0.0,0.8,0.0,0.0,1.0,0.0,0.0
robert-napper-rachel-nickell,GPT-4.5-Preview,latest,2025-03-14T19:49:26.609439,212.00376224517822,1,1,1,1,1,1,1,1,1,1,1,1,4,0.8375,0.8,0.9,0.75,0.9,1.0,0.8,1.0,0.8,0.0,1.0,0.0,1.0
robert-napper-rachel-nickell,GPT-4o,latest,2025-03-14T19:50:25.166544,58.55710554122925,3,2,2,1,1,1,1,1,1,1,1,1,4,0.8,0.8,0.75,0.85,0.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
unabomber,o3-mini-high,latest,2025-03-14T19:50:38.965358,85.40588188171387,4,2,2,2,2,2,2,2,1,0,1,0,2,0.875,0.85,0.0,0.9,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
robert-napper-rachel-nickell,o3-mini-high,latest,2025-03-14T19:51:11.568543,104.95910406112671,4,2,2,2,2,2,2,2,1,1,1,1,4,0.775,0.7,0.8,0.8,0.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
unabomber,GPT-4o,latest,2025-03-14T19:51:30.059073,136.49855303764343,1,2,2,1,1,1,1,1,1,0,1,0,2,0.875,0.9,0.0,0.85,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
unabomber,GPT-4o-mini,latest,2025-03-14T19:51:54.717595,24.657516479492188,3,3,2,2,2,2,2,2,2,0,1,0,3,0.7749999999999999,0.85,0.0,0.7,0.0,1.0,0.0,0.8,0.0,0.0,1.0,0.0,0.0
robert-napper-rachel-nickell,GPT-4o-mini,latest,2025-03-14T19:52:34.828395,83.25609636306763,2,3,2,1,1,1,1,1,2,1,1,1,5,0.775,0.85,0.8,0.75,0.7,0.8,0.8,0.8,0.8,0.0,1.0,0.0,0.0
unabomber,Claude-3.7-Sonnet,latest,2025-03-14T19:53:05.484302,70.76670694351196,7,6,6,6,4,5,5,5,1,0,1,0,2,0.875,0.85,0.0,0.9,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
unabomber,Claude-3.7-Sonnet-Thinking,latest,2025-03-14T19:53:21.044301,86.32670617103577,6,6,6,6,3,5,5,5,5,0,5,0,10,0.875,0.85,0.0,0.9,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
unabomber,Llama-3.3-70B-Instruct,latest,2025-03-14T19:53:36.377314,15.316385507583618,3,2,2,2,2,2,2,2,2,0,2,0,4,0.75,0.8,0.0,0.7,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
robert-napper-rachel-nickell,Claude-3.7-Sonnet,latest,2025-03-14T19:53:46.162149,71.33370161056519,10,6,6,7,5,6,6,6,5,5,5,5,20,0.8,0.7,0.85,0.75,0.9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
robert-napper-rachel-nickell,Claude-3.7-Sonnet-Thinking,latest,2025-03-14T19:54:23.565923,108.73747563362122,7,6,6,6,4,5,5,5,4,4,4,4,16,0.85,0.85,0.9,0.8,0.85,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
robert-napper-rachel-nickell,Llama-3.3-70B-Instruct,latest,2025-03-14T19:54:33.478127,9.911202907562256,3,2,2,2,2,2,2,2,2,2,2,2,8,0.65,0.6,0.7,0.5,0.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
unabomber,DeepSeek-R1,latest,2025-03-14T19:55:00.737120,84.35903549194336,5,4,4,4,3,3,3,3,3,0,3,0,6,0.875,0.9,0.0,0.85,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
unabomber,Gemini-2.0-Flash,latest,2025-03-14T19:55:14.409561,13.672440528869629,3,4,4,5,3,3,4,3,1,0,1,0,2,0.875,0.85,0.0,0.9,0.0,0.8,0.0,0.8,0.0,1.0,1.0,0.0,0.0
robert-napper-rachel-nickell,DeepSeek-R1,latest,2025-03-14T19:55:28.221313,54.74247932434082,5,4,4,4,3,4,4,4,2,2,2,2,8,0.775,0.7,0.85,0.65,0.9,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
unabomber,Gemini-2.0-Flash-Thinking-Exp0121,latest,2025-03-14T19:55:33.898872,33.16175174713135,1,4,5,6,3,4,5,5,1,0,1,0,2,0.75,0.8,0.0,0.7,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
robert-napper-rachel-nickell,Gemini-2.0-Flash,latest,2025-03-14T19:55:44.943833,16.722519636154175,5,2,3,3,3,3,4,2,2,3,1,1,7,0.675,0.6,0.7,0.6,0.8,1.0,1.0,1.0,0.8,0.0,0.0,0.0,1.0
robert-napper-rachel-nickell,Gemini-2.0-Flash-Thinking-Exp0121,latest,2025-03-14T19:56:01.468326,33.24701237678528,4,5,6,6,3,5,5,5,1,1,1,1,4,0.725,0.6,0.8,0.7,0.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
ed-kemper,o3-mini,latest,2025-03-14T19:56:46.520937,45.052611112594604,3,2,2,2,2,2,2,2,1,1,1,1,4,0.6,0.85,0.0,0.75,0.8,1.0,0.4,1.0,1.0,0.0,0.0,0.0,0.0
btk-otero,o3-mini,latest,2025-03-14T19:56:53.656755,52.18742370605469,4,2,2,2,2,2,2,2,1,0,1,1,3,0.8166666666666667,0.85,0.0,0.8,0.8,1.0,0.0,0.8,1.0,1.0,1.0,0.0,1.0
btk-otero,GPT-4.5-Preview,latest,2025-03-14T19:59:45.273067,223.80474090576172,1,3,2,3,2,2,2,2,1,1,1,1,4,0.8875,0.85,0.9,0.85,0.95,0.8,0.8,0.8,0.8,0.0,0.0,1.0,1.0
ed-kemper,GPT-4.5-Preview,latest,2025-03-14T19:59:55.852287,234.3839614391327,1,3,2,2,2,2,1,1,1,1,1,1,4,0.9425,0.95,0.95,0.9,0.97,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
ed-kemper,GPT-4o,latest,2025-03-14T20:00:45.127933,49.2727153301239,3,5,6,6,3,5,5,5,1,1,1,1,4,0.825,0.85,0.75,0.9,0.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
btk-otero,GPT-4o,latest,2025-03-14T20:00:49.995940,64.70569515228271,3,6,6,6,3,5,5,5,1,1,1,1,4,0.8500000000000001,0.9,0.8,0.8,0.9,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
ed-kemper,o3-mini-high,latest,2025-03-14T20:01:27.661592,91.80712842941284,4,2,2,2,2,2,2,2,1,1,1,1,4,0.825,0.85,0.8,0.8,0.85,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
btk-otero,o3-mini-high,latest,2025-03-14T20:01:35.474077,110.2000105381012,3,3,3,3,2,2,2,2,1,1,1,1,4,0.75,0.8,0.7,0.7,0.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
btk-otero,GPT-4o-mini,latest,2025-03-14T20:02:38.747070,63.27099370956421,3,2,2,2,2,2,2,2,1,1,1,1,4,0.8875,0.85,0.9,0.9,0.9,1.0,0.8,1.0,0.8,1.0,1.0,0.0,1.0
ed-kemper,GPT-4o-mini,latest,2025-03-14T20:03:05.865160,98.20256686210632,2,2,2,2,2,2,2,2,1,1,1,1,4,0.8875,0.9,0.85,0.9,0.9,0.8,0.8,0.8,0.8,0.0,1.0,0.0,0.0
btk-otero,Claude-3.7-Sonnet,latest,2025-03-14T20:03:50.685325,71.93622636795044,8,5,6,6,4,5,5,5,1,4,4,4,13,0.7375,0.8,0.75,0.7,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ed-kemper,Claude-3.7-Sonnet,latest,2025-03-14T20:04:14.373471,68.50729298591614,7,5,6,6,3,5,5,5,1,1,1,1,4,0.85,0.85,0.9,0.8,0.85,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
btk-otero,Claude-3.7-Sonnet-Thinking,latest,2025-03-14T20:04:30.285982,111.53690671920776,7,5,6,6,4,5,5,5,4,4,4,4,16,0.8125,0.85,0.8,0.75,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ed-kemper,Claude-3.7-Sonnet-Thinking,latest,2025-03-14T20:05:08.164238,122.29707884788513,6,5,6,6,3,5,5,5,1,4,4,4,13,0.8625,0.85,0.9,0.8,0.9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
ed-kemper,Llama-3.3-70B-Instruct,latest,2025-03-14T20:06:17.091292,68.92604875564575,2,2,2,2,2,2,2,2,1,1,1,1,4,0.8625,0.8,0.9,0.85,0.9,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
btk-otero,Llama-3.3-70B-Instruct,latest,2025-03-14T20:06:53.020307,142.7333242893219,2,2,2,2,2,2,2,2,1,1,1,1,4,0.7,0.7,0.6,0.7,0.8,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
